rowid,Class,Position,Sail Number,Sailor,Boat Name,Club,Points,R1,R2,R3,R4,R5,R6,sailor_count
57,420 Champ,29,USA 5991,Christopher Pandapas,NA,Pleon,128,24,26,14,-35,32,32,1
58,420 Champ,29,USA 5991,Nick Thibodeau,NA,Pleon,128,24,26,14,-35,32,32,2
59,420 Champ,30,USA 8764,Jackson Burke,NA,MSA,130,31,15,35,18,-36,31,1
60,420 Champ,30,USA 8764,Jack Laffy,NA,MSA,130,31,15,35,18,-36,31,2
61,420 Champ,31,USA 1,Emma Cole,NA,Portland Yacht Club,139,-36,29,30,32,34,14,1
62,420 Champ,31,USA 1,Kieran Elliott,NA,Portland Yacht Club,139,-36,29,30,32,34,14,2
63,420 Champ,32,USA 1357,John Cataldo,NA,Cottage park yacht club,144,27,-36,32,29,21,35,1
64,420 Champ,32,USA 1357,Joseph Cataldo,NA,Cottage park yacht club,144,27,-36,32,29,21,35,2
65,420 Champ,33,USA 8418,Hunter Kennedy,NA,Cottage Park Yacht Club,148,-35,33,31,27,28,29,1
66,420 Champ,33,USA 8418,Antea Schlichting,NA,Cottage Park Yacht Club,148,-35,33,31,27,28,29,2
67,420 Champ,34,USA 2141,Luke Elmer,NA,Pleon,153,30,32,-34,31,26,34,1
68,420 Champ,34,USA 2141,Whit Tedford,NA,Pleon,153,30,32,-34,31,26,34,2
69,420 Champ,35,USA 15,Trey penna,NA,AYC,156,DNC-39,-,-,DNC-39,DNC-39,DNC-39,1
70,420 Champ,35,USA 15,NA,NA,AYC,156,DNC-39,-,-,DNC-39,DNC-39,DNC-39,2
71,420 Champ,36,USA 8690,Will Romac,NA,Harraseeket Yacht Club,158,34,34,29,-36,31,30,1
72,420 Champ,36,USA 8690,Daisy Brewer,NA,Harraseeket Yacht Club,158,34,34,29,-36,31,30,2
73,420 Champ,37,USA 7127,Molly Lane,NA,Pleon,159,33,35,28,34,29,-37,1
74,420 Champ,37,USA 7127,Lane Kaeyer,NA,Pleon,159,33,35,28,34,29,-37,2
75,420 Champ,38,USA 8705,Aiden Harrison,NA,Manchester Sailing Association,183,37,37,36,37,(RET-39),36,1
76,420 Champ,38,USA 8705,Ari Brzezinski,NA,Manchester Sailing Association,183,37,37,36,37,(RET-39),36,2
